測定局コード,測定局名称,住所,SO2,NO,NO2,NOX,CO,OX,NMHC,CH4,THC,SPM,PM2.5,SP,WD,WS,TEMP,HUM,問い合わせ先,局種別
2201070,堤小学校,青森市松原２－４－４,◯,◯,◯,◯,×,◯,×,×,×,◯,×,×,×,×,×,×,青森市,一般局
2201080,甲田小学校,青森市金沢１－６－１,×,◯,◯,◯,×,×,×,×,×,◯,◯,×,×,×,×,×,青森市,一般局
2201090,新城中央小学校,青森市新城平岡１４１－１,×,◯,◯,×,×,×,×,×,×,◯,×,×,×,×,×,×,青森市,一般局
2201520,橋本小学校,青森市橋本１丁目９－１７,×,◯,◯,◯,◯,×,◯,◯,◯,◯,×,×,×,×,×,×,青森市,自排局
2202060,弘前市立第一中学校,弘前市和徳町３６３－１３,×,◯,◯,◯,×,◯,×,×,×,◯,×,×,×,×,×,×,青森県,一般局
2202510,文京小学校,弘前市中野１－１－１,×,◯,◯,◯,◯,×,◯,◯,◯,◯,◯,×,×,×,×,×,青森県,自排局
2203050,根岸小学校,八戸市河原木根岸１－２,◯,◯,◯,◯,×,×,×,×,×,◯,◯,×,×,×,×,×,青森県,一般局
2203220,桔梗野小学校,八戸市市川町尻引前山３１－２,◯,◯,◯,◯,×,×,×,×,×,◯,×,×,×,×,×,×,青森県,一般局
2203240,八戸小学校,八戸市売市小待１５０,◯,◯,◯,◯,×,◯,◯,◯,◯,◯,×,×,×,×,×,×,青森県,一般局
2203260,八戸特別地域気象観測所,八戸市大字湊町字舘鼻６７,◯,◯,◯,◯,×,×,×,×,×,◯,×,×,×,×,×,×,青森県,一般局
2203510,六日町,八戸市六日町１０,×,◯,◯,◯,◯,×,◯,◯,◯,◯,◯,×,×,×,×,×,青森県,自排局
2204010,スポカルイン黒石,黒石市ぐみの木３－６５,×,◯,◯,◯,×,×,×,×,×,◯,×,×,×,×,×,×,青森県,一般局
2205010,五所川原第三中学校,五所川原市広田藤浦１０５－１,×,◯,◯,◯,×,×,×,×,×,◯,◯,×,×,×,×,×,青森県,一般局
2206030,三本木中学校,十和田市西十三番町５－２４,×,◯,◯,◯,×,×,×,×,×,◯,×,×,×,×,×,×,青森県,一般局
2207020,岡三沢町内会館,三沢市岡三沢七丁目１６－１,×,◯,◯,◯,×,×,×,×,×,◯,×,×,×,×,×,×,青森県,一般局
2208030,苫生小学校,むつ市金曲一丁目５－１０,×,◯,◯,◯,×,◯,×,×,×,◯,×,×,×,×,×,×,青森県,一般局
2307950,国設竜飛岬酸性雨,東津軽郡外ヶ浜町三厩宇鉄山国有林84林班り2小班,×,×,×,×,×,×,×,×,×,×,×,×,◯,◯,〇,◯,環境省,一般局
2321010,鰺ヶ沢町舞戸,西津軽郡鰺ヶ沢町大字舞戸町字鳴戸３８４－３７,×,×,×,×,×,◯,×,×,×,×,×,×,×,×,×,×,青森県,一般局
2364510,大栄小学校,青森市浪岡大字大釈迦前田５－２,×,◯,◯,◯,×,×,◯,◯,◯,◯,×,×,×,×,×,×,青森市,自排局
2411010,尾駮小学校,上北郡六ヶ所村大字尾駮字野附４８３,◯,◯,◯,◯,×,◯,◯,◯,◯,◯,×,×,×,×,×,×,青森県,一般局
3201070,津志田,盛岡市津志田１４－３７－２,◯,◯,◯,◯,×,◯,×,×,×,◯,◯,×,×,×,×,×,岩手県,一般局
3201550,上田,盛岡市上田４－１－１,×,◯,◯,◯,◯,×,×,×,×,◯,◯,×,×,×,×,×,岩手県,自排局
3202050,横町,宮古市横町 ５－１,◯,◯,◯,◯,×,◯,×,×,×,◯,◯,×,×,×,×,×,岩手県,一般局
3203090,猪川町,大船渡市猪川町字前田 ６－１,×,◯,◯,◯,×,×,×,×,×,×,×,×,×,×,×,×,岩手県,一般局
3204010,水沢,奥州市水沢区大手町５－５,◯,◯,◯,◯,×,◯,×,×,×,◯,◯,×,×,×,×,×,岩手県,一般局
3205010,花城,花巻市花城町１－４１,◯,◯,◯,◯,×,×,×,×,×,◯,◯,×,◯,◯,×,×,岩手県,一般局
3206010,芳町,北上市芳町２－８,×,◯,◯,◯,×,◯,×,×,×,×,×,×,×,×,×,×,岩手県,一般局
3207010,八日町,久慈市八日町１－１,◯,◯,◯,◯,×,×,×,×,×,◯,◯,×,×,×,×,×,岩手県,一般局
3209010,竹山町,一関市竹山町７－５,◯,×,×,×,×,◯,◯,◯,◯,◯,◯,×,×,×,×,×,岩手県,一般局
3209510,三反田,一関市山目字三反田１５２－１,×,◯,◯,◯,×,×,×,×,×,◯,◯,×,×,×,×,×,岩手県,自排局
3211070,新町,釜石市釜石市新町６－５０,◯,◯,◯,◯,×,×,×,×,×,◯,◯,×,×,×,×,×,岩手県,一般局
3213020,荷渡,二戸市石切所字荷渡６－３,×,◯,◯,◯,×,×,×,×,×,×,×,×,×,×,×,×,岩手県,一般局
3215010,江刺,奥州市江刺区大通り ７－１３,×,◯,◯,◯,×,×,×,×,×,×,×,×,×,×,×,×,岩手県,一般局
3305010,巣子,岩手郡滝沢村滝沢字巣子７３３－４,◯,◯,◯,◯,×,×,×,×,×,◯,◯,×,×,×,×,×,岩手県,一般局
3321010,日詰,紫波郡紫波町日詰字東裏 ８５－１,×,◯,◯,◯,×,×,×,×,×,×,×,×,×,×,×,×,岩手県,一般局
4101010,広瀬,仙台市青葉区下愛子字二本松４０,×,◯,◯,◯,×,◯,×,×,×,◯,×,×,◯,◯,×,×,仙台市,一般局
4101020,宮総局,仙台市青葉区下愛子字観音堂5,×,×,×,×,×,×,×,×,×,×,◯,×,×,×,×,×,仙台市,一般局
4101510,北根,仙台市青葉区北根一丁目１１,×,◯,◯,◯,◯,×,×,×,×,◯,×,×,×,×,×,×,仙台市,自排局
4104010,秋総局,仙台市太白区秋保町長袋大原４５?１,×,×,×,×,×,×,×,×,×,×,◯,×,×,×,×,×,仙台市,一般局
4105520,長命,仙台市泉区長命ケ丘２－２２,×,◯,◯,◯,×,×,×,×,×,◯,×,×,×,×,×,×,仙台市,自排局
4105530,将監,仙台市泉区将監４－４,×,◯,◯,◯,◯,×,◯,◯,◯,◯,◯,×,×,×,×,×,仙台市,自排局
4201020,岩切,仙台市宮城野区岩切字三所南８８－１,×,×,×,×,×,◯,×,×,×,◯,◯,×,◯,◯,×,×,仙台市,一般局
4201030,鶴谷,仙台市宮城野区鶴ヶ谷３－１７－１,×,◯,◯,◯,×,◯,×,×,×,◯,×,×,×,×,×,×,仙台市,一般局
4201050,長町,仙台市太白区郡山６－５－１,×,◯,◯,◯,×,◯,×,×,×,◯,◯,×,◯,◯,×,×,仙台市,一般局
4201060,中山,仙台市青葉区中山６－１６－１,×,◯,◯,◯,×,◯,×,×,×,◯,◯,×,◯,◯,×,×,仙台市,一般局
4201070,中野,仙台市宮城野区白鳥1-32-1,◯,◯,◯,◯,×,◯,◯,◯,◯,◯,◯,×,◯,◯,×,×,仙台市,一般局
4201080,七郷,仙台市若林区荒井字堀添５３－２,×,◯,◯,◯,×,◯,×,×,×,◯,◯,×,◯,◯,×,×,仙台市,一般局
4201210,福室,仙台市宮城野区福室５－１６－１,◯,◯,◯,◯,×,◯,×,×,×,◯,◯,×,◯,◯,×,×,仙台市,一般局
4201220,山田,仙台市太白区山田北前町３６－１,×,◯,◯,◯,×,◯,×,×,×,◯,◯,×,◯,◯,×,×,仙台市,一般局
4201230,榴岡,仙台市宮城野区五輪１－２－３,◯,◯,◯,◯,×,◯,◯,◯,◯,◯,◯,×,×,×,×,×,仙台市,一般局
4201540,苦竹,仙台市宮城野区原町３ー７,◯,◯,◯,◯,×,×,×,×,×,◯,◯,×,×,×,×,×,仙台市,自排局
4201550,木町,仙台市青葉区木町通１－７－３６,×,◯,◯,◯,×,×,×,×,×,◯,×,×,×,×,×,×,仙台市,自排局
4201560,五橋,仙台市若林区清水小路３－１,×,◯,◯,◯,×,×,×,×,×,◯,◯,×,×,×,×,×,仙台市,自排局
4202060,石巻西,石巻市石巻市門脇一番谷地51-10,◯,◯,◯,◯,×,◯,×,×,×,◯,◯,×,×,×,×,×,宮城県,一般局
4203010,塩釜,塩竃市旭町1-1,◯,◯,◯,◯,×,◯,◯,◯,◯,◯,◯,×,×,×,×,×,宮城県,一般局
4203510,塩釜自排,塩竃市中の島１－９,×,◯,◯,◯,◯,×,×,×,×,◯,×,×,×,×,×,×,宮城県,自排局
4204020,古川2,大崎市古川旭４－１－１,◯,◯,◯,◯,×,◯,×,×,×,◯,◯,×,×,×,×,×,宮城県,一般局
4204510,古川自排,大崎市李埣３－１－３,×,◯,◯,◯,×,×,×,×,×,◯,×,×,×,×,×,×,宮城県,自排局
4205020,気仙沼,気仙沼市笹ヶ陣３－１,◯,◯,◯,◯,×,◯,×,×,×,◯,◯,×,×,×,×,×,宮城県,一般局
4206010,白石,白石市南町１－２－７９,×,◯,◯,◯,×,◯,×,×,×,◯,◯,×,×,×,×,×,宮城県,一般局
4207510,名取自排,名取市増田５－１８－３２,×,◯,◯,◯,×,×,×,×,×,◯,◯,×,×,×,×,×,宮城県,自排局
4210010,七北田,仙台市泉区七北田字東裏９０,×,◯,◯,◯,×,◯,×,×,×,◯,◯,×,◯,◯,×,×,仙台市,一般局
4211010,岩沼,岩沼市中央３丁目１－１３,◯,◯,◯,◯,×,◯,◯,◯,◯,◯,◯,×,×,×,×,×,宮城県,一般局
4323010,柴田,柴田郡柴田町船岡中央２－３－４５,◯,◯,◯,◯,×,◯,×,×,×,◯,×,×,×,×,×,×,宮城県,一般局
4341010,丸森,伊具郡丸森町大内字南平１９３－６,◯,◯,◯,◯,×,◯,×,×,×,◯,◯,×,×,×,×,×,宮城県,一般局
4362010,山元,亘理郡山元町高瀬字合戦原１００－１,◯,◯,◯,◯,×,◯,×,×,×,◯,×,×,×,×,×,×,宮城県,一般局
4401010,松島,宮城郡松島町高城字迎山３－５,×,◯,◯,◯,×,◯,◯,◯,◯,◯,◯,×,×,×,×,×,宮城県,一般局
4406010,利府,宮城郡利府町中央2-４,×,◯,◯,◯,×,◯,×,×,×,◯,◯,×,×,×,×,×,宮城県,一般局
4421010,大和,黒川郡大和町吉岡字町裏３２,×,◯,◯,◯,×,◯,×,×,×,◯,◯,×,×,×,×,×,宮城県,一般局
4501010,国設箟岳,遠田郡涌谷町小塚字桜清水二1-5,◯,◯,◯,◯,◯,◯,◯,◯,◯,◯,◯,×,×,×,×,×,宮城県,一般局
4521010,築館,栗原市築館藤木５－１,×,◯,◯,◯,×,◯,×,×,×,◯,◯,×,×,×,×,×,宮城県,一般局
4541010,迫,登米市迫町佐沼字北散田１４７,×,◯,◯,◯,×,◯,×,×,×,◯,◯,×,×,×,×,×,宮城県,一般局
4562020,矢本２,東松島市矢本字町裏１５４,×,◯,◯,◯,×,◯,×,×,×,◯,◯,×,×,×,×,×,宮城県,一般局
5201010,将軍野,秋田市土崎港北二丁目１８番１８号,◯,◯,◯,◯,×,◯,◯,◯,◯,◯,◯,×,◯,◯,×,×,秋田市,一般局
5201030,茨島,秋田市茨島１－４－７１,◯,×,×,×,×,×,×,×,×,◯,×,×,◯,◯,×,×,秋田市,一般局
5201040,仁井田,秋田市仁井田本町四丁目５番２０号,◯,◯,◯,◯,×,◯,×,×,×,◯,◯,×,◯,◯,×,×,秋田市,一般局
5201060,上新城,秋田市上新城五十丁字大村屋敷２２,◯,×,×,×,×,×,×,×,×,◯,×,×,◯,◯,×,×,秋田市,一般局
5201080,土崎,秋田市土崎港西五丁目３番１号,◯,◯,◯,◯,×,×,×,×,×,◯,×,×,◯,◯,×,×,秋田市,一般局
5201120,山王,秋田市山王１－１－１,◯,◯,◯,◯,×,×,◯,◯,◯,◯,×,×,◯,◯,×,×,秋田市,一般局
5201130,新屋,秋田市新屋扇町１３番３４号,×,◯,◯,◯,×,×,×,×,×,◯,×,×,◯,◯,×,×,秋田市,一般局
5201340,堀川,秋田市飯島字堀川８４－１３０,◯,◯,◯,◯,×,×,×,×,×,◯,×,×,◯,◯,×,×,秋田市,一般局
5201370,広面,秋田市広面字樋ノ上２８－３,×,◯,◯,◯,×,◯,×,×,×,◯,×,×,◯,◯,×,×,秋田市,一般局
5201530,自排茨島,秋田市茨島１－４－７１,×,◯,◯,◯,◯,×,×,×,×,×,◯,×,×,×,×,×,秋田市,自排局
5202020,能代西,能代市盤若町３－１,◯,◯,◯,◯,×,◯,×,×,×,◯,◯,×,×,×,×,×,秋田県,一般局
5202040,檜山,能代市檜山字赤館４２－１,◯,◯,◯,◯,×,×,×,×,×,◯,×,×,×,×,×,×,秋田県,一般局
5203020,横手,横手市旭川１－３－４６,◯,×,×,×,×,×,×,×,×,◯,◯,×,×,×,×,×,秋田県,一般局
5204020,大館,大館市金坂後６,◯,◯,◯,◯,×,◯,×,×,×,◯,◯,×,×,×,×,×,秋田県,一般局
5205010,本荘,由利本荘市桜小路１,×,◯,◯,◯,×,◯,×,×,×,◯,◯,×,×,×,×,×,秋田県,一般局
5206060,船川,男鹿市船川港船川字泉台３－２,×,◯,◯,◯,×,◯,◯,◯,◯,◯,◯,×,×,×,×,×,秋田県,一般局
5208010,大曲,大仙市大曲上栄町１３－６２,×,◯,◯,◯,×,◯,×,×,×,◯,×,×,×,×,×,×,秋田県,一般局
6201090,山形銅町,山形市銅町２－１０－８,×,×,×,×,×,◯,×,×,×,×,◯,×,×,×,×,×,山形県,一般局
6201110,山形成沢西,山形市成沢西１－３－３,◯,◯,◯,◯,×,◯,×,×,×,◯,◯,×,×,×,×,×,山形市,一般局
6201510,山形下山家,山形市下山家８１－５,×,◯,◯,◯,◯,×,◯,◯,◯,◯,◯,×,×,×,×,×,山形県,自排局
6202010,米沢金池,米沢市金池２－９,◯,◯,◯,◯,×,◯,×,×,×,◯,◯,×,×,×,×,×,山形県,一般局
6203010,鶴岡錦町,鶴岡市錦町6-60,◯,◯,◯,◯,×,◯,×,×,×,◯,◯,×,×,×,×,×,山形県,一般局
6204050,酒田若浜,酒田市若浜町１－４０,◯,◯,◯,◯,×,◯,×,×,×,◯,◯,×,×,×,×,×,山形県,一般局
6205010,新庄下田,新庄市下田町８－１,◯,◯,◯,◯,×,◯,×,×,×,◯,◯,×,×,×,×,×,山形県,一般局
6206010,寒河江西根,寒河江市西根字石川西３５５,◯,◯,◯,◯,×,◯,×,×,×,◯,◯,×,×,×,×,×,山形県,一般局
6208010,村山楯岡笛田,村山市楯岡笛田3-2-1,◯,◯,◯,◯,×,◯,×,×,×,◯,◯,×,×,×,×,×,山形県,一般局
6209010,長井高野,長井市高野町２－３－１,◯,◯,◯,◯,×,◯,×,×,×,◯,◯,×,×,×,×,×,山形県,一般局
6422010,余目,東田川郡庄内町大字余目字猿田８７,◯,◯,◯,◯,×,×,×,×,×,◯,◯,×,×,×,×,×,山形県,一般局
7201180,古川,福島市古川44-2,×,◯,◯,◯,×,◯,×,×,×,◯,×,×,◯,◯,〇,◯,福島市,一般局
7201190,南町,福島市郷野目字向町17-2,◯,◯,◯,◯,×,◯,×,×,×,◯,×,×,◯,◯,〇,◯,福島市,一般局
7201200,森合,福島市森合字中谷地4-4,◯,◯,◯,◯,×,◯,◯,◯,◯,◯,◯,×,◯,◯,〇,◯,福島市,一般局
7201510,松浪町,福島市松浪町3-46,×,◯,◯,◯,◯,×,◯,◯,◯,×,×,×,◯,◯,〇,◯,福島市,自排局
7202070,会津若松,会津若松市西栄町４－６１,◯,◯,◯,◯,×,◯,◯,◯,◯,◯,◯,×,◯,◯,〇,◯,福島県,一般局
7203130,芳賀,郡山市芳賀２丁目６番１号,◯,◯,◯,◯,×,◯,×,×,×,◯,◯,×,◯,◯,〇,◯,郡山市,一般局
7203140,堤下,郡山市堤下町４ノ４,◯,◯,◯,◯,×,◯,◯,◯,◯,◯,×,×,◯,◯,〇,◯,郡山市,一般局
7203150,日和田,郡山市日和田町日向６０,×,×,×,×,×,◯,×,×,×,×,×,×,◯,◯,〇,◯,郡山市,一般局
7203180,安積,郡山市安積３－３７,×,×,×,×,×,◯,×,×,×,×,×,×,◯,◯,〇,◯,郡山市,一般局
7203520,台新,郡山市台新１－８０４,×,◯,◯,◯,◯,×,◯,◯,◯,◯,◯,×,◯,◯,〇,◯,郡山市,自排局
7204020,上中田,いわき市錦町重殿１５,◯,◯,◯,◯,×,◯,×,×,×,◯,×,×,◯,◯,〇,◯,いわき市,一般局
7204030,花ノ井,いわき市錦町鬼越下６４,◯,×,×,×,×,×,×,×,×,×,×,×,◯,◯,×,×,いわき市,一般局
7204070,下川,いわき市泉町下川字宿ノ川１９,◯,×,×,×,×,×,×,×,×,×,×,×,◯,◯,×,×,いわき市,一般局
7204090,滝尻,いわき市泉町滝尻字高見坪１,◯,×,×,×,×,×,×,×,×,◯,×,×,◯,◯,×,×,いわき市,一般局
7204110,大原,いわき市小名浜大原字六反田２２,◯,◯,◯,◯,×,◯,◯,◯,◯,◯,◯,×,◯,◯,〇,◯,いわき市,一般局
7204160,中原,いわき市小名浜字中原５－１,◯,×,×,×,×,×,×,×,×,×,×,×,◯,◯,×,×,いわき市,一般局
7204170,金山,いわき市金山町朝日台１,◯,◯,◯,◯,×,◯,×,×,×,◯,×,×,◯,◯,〇,◯,いわき市,一般局
7204210,揚土,いわき市平字揚土５,◯,◯,◯,◯,×,◯,×,×,×,◯,◯,×,◯,◯,〇,◯,いわき市,一般局
7204510,平,いわき市平字正内町２２,×,◯,◯,◯,◯,×,◯,◯,◯,◯,×,×,◯,◯,×,×,いわき市,自排局
7204720,中央台,いわき市中央台鹿島１丁目55,◯,◯,◯,◯,×,◯,×,×,×,◯,×,×,◯,◯,〇,◯,いわき市,一般局
7204730,常磐,いわき市常磐湯本町栄田11,◯,◯,◯,◯,×,◯,×,×,×,◯,×,×,◯,◯,〇,◯,いわき市,一般局
7204740,四倉,いわき市四倉町狐塚字松橋20,◯,◯,◯,◯,×,◯,×,×,×,◯,×,×,◯,◯,〇,◯,いわき市,一般局
7205050,白河,白河市寺小路28,◯,◯,◯,◯,×,◯,◯,◯,◯,◯,◯,×,◯,◯,〇,◯,福島県,一般局
7206050,原町１,南相馬市仲町２丁目１６５,◯,◯,◯,◯,×,◯,◯,◯,◯,◯,◯,×,◯,◯,〇,◯,福島県,一般局
7207010,須賀川,須賀川市大町１０８－１,◯,◯,◯,◯,×,◯,◯,◯,◯,◯,×,×,◯,◯,〇,◯,福島県,一般局
7208090,喜多方,喜多方市字桜が丘１－１２９－１,×,×,×,×,×,◯,×,×,×,◯,×,×,◯,◯,〇,◯,福島県,一般局
7209080,相馬１,相馬市中村字高池前４３,◯,◯,◯,◯,×,◯,×,×,×,◯,×,×,◯,◯,〇,◯,福島県,一般局
7210010,二本松,二本松市金色424-1,×,×,×,×,×,◯,×,×,×,◯,×,×,◯,◯,〇,◯,福島県,一般局
7368010,南会津,南会津郡南会津町田島字天道沢甲２５４２－７,×,×,×,×,×,◯,◯,◯,◯,◯,◯,×,◯,◯,〇,◯,福島県,一般局
7466010,矢吹,西白河郡矢吹町一本木101,×,×,×,×,×,◯,×,×,×,◯,×,×,◯,◯,〇,◯,福島県,一般局
